2021,정부구입,185
2016,정부구입,72
2017,수입,87
2014,수입,90
2014,정부구입,54
2023,소비,186
2017,소비,57
2014,정부구입,190
2015,수출,61
2014,수입,184
2018,정부구입,184
2021,소비,75
2019,수출,145
2022,수출,180
2020,수출,142
2016,수입,57
2016,투자,154
2019,투자,121
2023,투자,77
2022,소비,78
2019,투자,179
2014,수출,111
2016,투자,165
2015,정부구입,124
2014,소비,88
2019,수출,70
2015,투자,167
2023,소비,127
2018,소비,173
2021,수입,91
2021,소비,132
2014,수입,170
2018,수출,71
2016,수입,184
2015,정부구입,172
2019,정부구입,92
2021,소비,73
2015,수입,65
2015,수출,149
2018,정부구입,83
2021,수출,159
2021,소비,58
2014,정부구입,59
2018,소비,90
2021,수입,189
2017,수출,198
2015,수출,188
2023,수출,86
2016,소비,67
2018,정부구입,130
2017,정부구입,77
2019,수입,66
2020,소비,133
2018,투자,105
2017,수입,76
2018,투자,93
2015,투자,110
2020,정부구입,84
2023,소비,170
2020,수출,74
2014,투자,150
2014,정부구입,51
2023,투자,60
2021,수입,141
2016,수입,170
2014,투자,129
2022,정부구입,181
2014,투자,191
2014,투자,101
2020,소비,171
2020,수입,159
2016,소비,123
2016,투자,78
2021,투자,132
2019,소비,102
2015,수입,111
2023,투자,160
2021,정부구입,161
2019,수출,53
2023,수입,139
2017,수입,129
2020,정부구입,191
2016,투자,82
2016,수입,173
2016,정부구입,72
2020,정부구입,158
2019,수입,87
2021,수입,118
2022,소비,104
2015,소비,59
2018,수입,159
2020,수입,171
2022,정부구입,141
2018,투자,134
2021,수출,130
2015,소비,67
2021,수출,70
2016,수출,51
2019,소비,171
2019,정부구입,92
2018,정부구입,197
2022,투자,152
2022,정부구입,178
2018,투자,147
2019,투자,133
2023,수입,107
2017,수입,120
2015,정부구입,52
2020,소비,101
2019,수출,145
2021,수입,199
2018,수출,148
2019,투자,180
2019,투자,111
2017,수출,133
2014,정부구입,113
2018,소비,175
2018,수출,78
2020,정부구입,185
2016,정부구입,142
2019,정부구입,120
2021,정부구입,166
2022,수입,189
2023,수출,195
2022,투자,130
2017,투자,75
2019,정부구입,105
2017,소비,128
2020,정부구입,64
2019,수입,130
2014,정부구입,172
2022,투자,66
2017,소비,138
2016,수입,89
2016,정부구입,161
2019,수출,156
2020,수출,146
2022,소비,195
2015,수입,115
2021,투자,188
2022,투자,162
2023,수출,174
2022,수출,197
2023,투자,63
2014,정부구입,183
2019,수입,183
2017,수입,161
2019,수출,169
2016,수입,98
2017,수출,156
2018,투자,161
2017,소비,135
2021,정부구입,103
2018,수출,115
2017,수입,121
2017,정부구입,85
2014,소비,165
2018,투자,141
2015,수출,199
2015,수입,53
2016,수출,157
2017,투자,188
2016,수출,75
2014,투자,99
2016,수출,140
2014,투자,177
2017,수출,163
2015,투자,179
2023,수출,134
2021,수입,180
2022,소비,198
2020,소비,72
2017,정부구입,72
2017,수입,57
2015,수출,184
2019,수입,135
2017,정부구입,140
2019,소비,80
2021,소비,143
2022,수출,132
2015,정부구입,144
2022,소비,109
2022,수입,105
2015,투자,150
2020,수출,55
2020,수입,85
2023,정부구입,167
2021,수입,100
2015,수출,127
2015,정부구입,113
2021,정부구입,113
2015,투자,189
2017,수출,86
2021,소비,76
2022,정부구입,143
2023,투자,189
2018,정부구입,152
2019,투자,76
2016,투자,114
2022,정부구입,107
2023,수출,50
2023,소비,136
2023,소비,127
2020,투자,137
2021,수입,99
2022,수출,159
2022,수출,170
2018,수출,104
2023,정부구입,199
2018,정부구입,90
2023,소비,195
2022,소비,179
2021,소비,84
2019,정부구입,60
2016,수출,185
2014,소비,108
2019,수출,82
2014,소비,103
2021,정부구입,101
2016,투자,139
2021,정부구입,124
2020,소비,128
2018,소비,125
2019,수출,140
2020,수입,131
2020,투자,93
2015,수출,70
2020,수입,185
2018,소비,79
2018,정부구입,122
2017,소비,152
2015,정부구입,104
2020,정부구입,184
2021,수출,110
2017,정부구입,166
2021,투자,118
2014,정부구입,147
2022,수입,92
2017,수입,168
2022,소비,109
2021,소비,174
2020,소비,160
2014,수입,140
2021,투자,118
2014,수입,140
2023,수입,178
2015,수입,58
2019,수출,155
2021,수입,111
2020,투자,159
2021,수입,151
2014,정부구입,166
2014,수입,59
2023,소비,197
2015,정부구입,153
2014,정부구입,127
2014,정부구입,70
2021,정부구입,134
2023,수입,157
2021,정부구입,77
2019,소비,88
2015,투자,181
2018,수출,91
2014,소비,118
2019,투자,103
2022,수입,139
2022,투자,168
2016,정부구입,90
2015,투자,130
2014,소비,70
2023,투자,54
2018,정부구입,122
2019,투자,188
2023,소비,180
2019,투자,55
2014,수입,170
2014,정부구입,121
2015,수입,87
2018,정부구입,72
2023,투자,87
2019,소비,133
2020,투자,122
2016,투자,83
2022,정부구입,75
2016,소비,109
2017,정부구입,55
2021,소비,87
2016,투자,58
2014,수출,52
2018,소비,74
2014,투자,62
2017,수출,173
2022,수입,71
2019,투자,87
2022,투자,103
2018,수출,123
2014,투자,59
2019,정부구입,104
2020,수출,75
2019,소비,93
2018,소비,189
2019,수출,165
2023,투자,74
2015,정부구입,71
2020,정부구입,64
2015,투자,88
2018,투자,96
2020,투자,60
2015,수입,189
2019,정부구입,57
2022,소비,135
2018,소비,79
2020,정부구입,82
2018,투자,130
2022,소비,90
2014,수출,131
2021,소비,169
2018,투자,191
2017,정부구입,118
2014,정부구입,87
